Scientific Name,English Name,Family,Feeding Path,Feeding Path Level,Calcium (mg/100g),Calcium L95,Calcium U95,Iron (mg/100g),Iron L95,Iron U95,Total Omega-3 PUFA (g/100g),Omega3 L95,Omega3 U95,Protein (g/100g),Protein L95,Protein U95,Selenium (μg/100g),Selenium L95,Selenium U95,Vitamin A (μg/100g),VitaminA L95,VitaminA U95,Zinc (mg/100g),Zinc L95,Zinc U95
Ablennes hians,Flat needlefish,Belonidae,pelagic,species,"40.3","10.1","162.5","0.555","0.225","1.432","0.168","0.064","0.510","18.8","16.7","20.9","13.3","5.2","39.4","36.3","8.3","189.8","0.516","0.290","0.962"
Abudefduf saxatilis,Sergeant-major,Pomacentridae,benthic,species,"40.4","17.7","89.9","0.575","0.306","1.039","0.169","0.094","0.303","19.5","18.3","20.6","11","5","24","51.7","13.4","199.9","0.773","0.478","1.202"
Acanthistius brasilianus,Argentine seabass,Anthiadidae,pelagic,species,"41.5","15.4","85.6","0.644","0.347","1.238","0.38","0.22","0.65","17.1","14.6","20.1","27.3","14.4","51.5","20.5","7.1","69.3","0.812","0.565","1.212"
Acanthocybium solandri,Wahoo,Scombridae,pelagic,species,"34.8","17.2","70.3","1.34","0.70","2.53","0.183","0.092","0.379","21.8","20.5","23.1","28","13","64","6.92","2.08","25.10","0.423","0.273","0.649"
Acanthodoras spinosissimus,Talking catfish,Doradidae,benthic,genus,"283","148","619","1.91","1.12","3.18","0.354","0.145","0.878","16.6","15.6","17.7","57","24","165","50.4","19.7","122.7","2.09","1.42","3.01"
Acanthostracion polygonium,Honeycomb cowfish,Ostraciidae,benthic,species,"40.5","15.5","83.6","0.66","0.35","1.46","0.0925","null","null","17.8","15.5","20.1","51.9","24.9","120.6","27.8","6.2","118.1","1.3","0.8","2.0"
Acanthostracion quadricornis,Scrawled cowfish,Ostraciidae,benthic,species,"22.3","9.0","63.2","0.615","0.308","1.471","0.153","0.077","0.296","18.8","16.5","21.0","24","10","55","18.4","4.2","81.7","0.73","0.46","1.17"
Acanthurus bahianus,Barber surgeonfish,Acanthuridae,benthic,genus,"419","167","1,788","1.56","0.51","4.22","0.176","0.065","0.472","17.3","15.8","18.8","7.92","2.10","38.26","271","52","1,310","8.15","2.49","17.42"
Acanthurus chirurgus,Doctorfish,Acanthuridae,benthic,species,"39.8","15.6","133.0","0.822","0.286","2.182","0.146","0.063","0.347","19.1","17.8","20.4","8.83","2.71","27.87","17.5","3.7","82.5","1.78","0.55","3.61"
Acanthurus coeruleus,Blue tang surgeonfish,Acanthuridae,benthic,species,"53.4","22.4","151.6","0.729","0.281","1.754","0.102","0.047","0.213","18.3","17.0","19.5","19.2","6.8","55.4","36.2","8.8","136.0","2.59","0.82","4.74"
