Scientific Name,English Name,Family,Feeding Path,Feeding Path Level,Calcium (mg/100g),Calcium L95,Calcium U95,Iron (mg/100g),Iron L95,Iron U95,Total Omega-3 PUFA (g/100g),Omega3 L95,Omega3 U95,Protein (g/100g),Protein L95,Protein U95,Selenium (μg/100g),Selenium L95,Selenium U95,Vitamin A (μg/100g),VitaminA L95,VitaminA U95,Zinc (mg/100g),Zinc L95,Zinc U95
Acanthocybium solandri,Wahoo,Scombridae,pelagic,species,"34.8","17.2","70.3","1.34","0.70","2.53","0.183","0.092","0.379","21.8","20.5","23.1","28","13","64","6.92","2.08","25.10","0.423","0.273","0.649"
Alectis ciliaris,African pompano,Carangidae,pelagic,species,"16.6","6.6","29.7","0.599","0.316","1.256","0.15","0.08","0.29","20","19","21","24.9","9.7","53.5","22.8","5.7","87.4","0.403","0.255","0.614"
Anchovia clupeoides,Zabaleta anchovy,Engraulidae,pelagic,species,"127","64","285","1.09","0.58","2.01","0.405","0.204","0.884","18.1","16.6","19.7","53.2","27.5","113.0","34.3","8.5","97.2","1.5","1.0","2.2"
Archosargus probatocephalus,Sheepshead,Sparidae,benthic,species,"24.1","9.8","46.1","0.562","0.283","1.069","0.215","0.123","0.398","21","20","22","16.3","7.4","32.4","22.3","6.2","82.3","0.703","0.460","1.099"
Caranx lugubris,Black jack,Carangidae,pelagic,species,"18.6","8.7","42.6","0.471","0.233","0.996","0.326","0.167","0.626","19.2","16.8","21.7","49.4","20.4","117.3","20.6","5.9","67.4","0.309","0.207","0.482"
Cookeolus japonicus,Longfinned bullseye,Priacanthidae,benthic,species,"24.3","12.8","50.6","0.604","0.353","1.029","0.252","0.148","0.416","20.1","19.1","21.1","30.1","15.0","57.6","21.4","7.2","67.6","0.605","0.411","0.914"
Coryphaena hippurus,Common dolphinfish,Coryphaenidae,benthic,species,"61.9","27.9","135.3","1.59","0.82","3.12","0.237","0.109","0.518","20.1","18.8","21.4","51.9","21.7","122.7","2.57","0.64","11.45","0.54","0.34","0.88"
Cynoscion acoupa,Acoupa weakfish,Sciaenidae,pelagic,species,"51.9","30.0","101.1","0.842","0.438","1.547","0.291","0.169","0.485","19.5","18.0","21.2","22.7","11.9","48.1","7.48","2.48","25.80","0.614","0.445","0.913"
Cynoscion virescens,Green weakfish,Sciaenidae,pelagic,species,"67.7","40.4","126.2","0.787","0.413","1.359","0.208","0.114","0.339","18.5","17.0","20.3","65.4","34.7","122.1","13.3","5.1","37.4","0.939","0.680","1.330"
Decapterus punctatus,Round scad,Carangidae,benthic,species,"143","39","362","1.97","0.70","4.60","0.358","0.176","0.741","21.6","20.2","22.8","23.8","7.1","68.8","36.4","8.6","154.8","0.817","0.464","1.440"
